,Age,Gender,Highest Education Level,Preferred Subjects in Highschool/College,Participation in Extracurricular Activities,Previous Work Experience (If Any),Preferred Work Environment,Risk-Taking Ability ,Leadership Experience,Networking & Social Skills,Tech-Savviness,Financial Stability - self/family (1 is low income and 10 is high income),Motivation for Career Choice ,Number of Siblings,What would you like to become when you grow up,CGPA
0,22,Male,Under Graduate,Science,Culturals,Internship,Startup,10.0,Student Council Member,Attended Corporate events,Good Coding knowledge,6,Social Impact,6,Government Officer,8.7
1,20,Male,Under Graduate,Science,Sports,No Experience,Research,10.0,No Experience,No Experience,Good Coding knowledge,5,Passion,0,,8.9
2,20,Male,Under Graduate,Science,Sports,No Experience,Startup,7.0,No Experience,No Experience,Good Coding knowledge,8,Freedom,0,,7.37
3,18,Female,Under Graduate,Science,Sports,Part Time,Corporate Job,6.0,Student Council Member,Attended Buisness meets,Good Coding knowledge,5,Money,2,Government Officer,8.21
4,18,Female,High School,Science,Culturals,No Experience,Startup,9.0,Event Management,Attended Conferences,Good Coding knowledge,4,Passion,0,Government Officer,7.37
5,19,Female,Under Graduate,Science,Not Participated,No Experience,Research,9.0,No Experience,No Experience,Comfortable using newly launched technologies,7,Money,1,Entrepreneur,8.5
6,19,Male,Under Graduate,Science,Not Participated,No Experience,Startup,8.0,No Experience,Attended Conferences,Good Coding knowledge,8,Passion,1,Entrepreneur,9.0
7,19,Female,High School,Science,Not Participated,No Experience,Corporate Job,7.0,No Experience,No Experience,Comfortable using newly launched technologies,4,Money,0,,9.21
8,18,Female,High School,Science,Culturals,No Experience,Research,10.0,Student Council Member,No Experience,Comfortable using newly launched technologies,5,Freedom,1,Entrepreneur,9.49
9,19,Female,Under Graduate,Science,Not Participated,Part Time,Corporate Job,7.0,Event Management,No Experience,Good Coding knowledge,7,Work-life Balance,0,Corporate Employee,8.1
10,18,Female,Under Graduate,Science,Culturals,No Experience,Research,4.0,No Experience,No Experience,Can efficiently work with AI tools,4,Social Impact,1,Corporate Employee,9.58
11,18,Male,Under Graduate,Commerce,Sports,No Experience,Freelance,7.0,Student Council Member,No Experience,Comfortable using newly launched technologies,2,Passion,1,Corporate Employee,9.51
12,19,Male,Under Graduate,Science,Sports,Part Time,Startup,6.0,Event Management,No Experience,Comfortable using newly launched technologies,8,Money,1,Government Officer,9.05
13,18,Female,Under Graduate,Science,Culturals,No Experience,Freelance,9.0,No Experience,No Experience,Can efficiently work with AI tools,10,Freedom,1,,8.11
14,18,Male,Under Graduate,Science,Not Participated,No Experience,Startup,7.0,No Experience,No Experience,Can efficiently work with AI tools,6,Money,1,,6.9
15,18,Female,Under Graduate,Commerce,Sports,No Experience,Research,9.0,Event Management,Attended Buisness meets,Comfortable using newly launched technologies,7,Money,1,Government Officer,9.0
16,18,Female,Under Graduate,Science,Sports,No Experience,Startup,9.0,No Experience,No Experience,Comfortable using newly launched technologies,3,Freedom,1,Government Officer,9.05
17,18,Male,Under Graduate,Science,Sports,No Experience,Research,7.0,No Experience,Attended Conferences,Good Coding knowledge,4,Freedom,2,,8.5
18,19,Male,Under Graduate,Science,Not Participated,No Experience,Corporate Job,10.0,No Experience,No Experience,Can efficiently work with AI tools,5,Money,1,,8.0
19,19,Male,Under Graduate,Science,Not Participated,No Experience,Corporate Job,10.0,No Experience,No Experience,Can efficiently work with AI tools,3,Money,1,,8.21
20,19,Female,Under Graduate,Science,Not Participated,No Experience,Corporate Job,10.0,No Experience,No Experience,Can efficiently work with AI tools,5,Money,0,Entrepreneur,7.37
21,18,Female,Under Graduate,Science,Sports,No Experience,Corporate Job,10.0,No Experience,No Experience,Can efficiently work with AI tools,5,Money,1,Corporate Employee,7.89
22,19,Female,Under Graduate,Science,Sports,No Experience,Corporate Job,10.0,Student Council Member,No Experience,Comfortable using newly launched technologies,8,Passion,1,Corporate Employee,7.89
23,21,Male,Under Graduate,Science,Sports,No Experience,Freelance,7.0,Event Management,No Experience,Good Coding knowledge,4,Work-life Balance,1,Freelancer,6.69
24,20,Male,Under Graduate,Commerce,Sports,Internship,Corporate Job,6.0,Student Council Member,Attended Buisness meets,Comfortable using newly launched technologies,6,Social Impact,4,Government Officer,9.7
25,20,Male,Under Graduate,Commerce,Sports,No Experience,Startup,10.0,No Experience,Attended Conferences,Can efficiently work with AI tools,10,Money,2,Entrepreneur,7.37
26,20,Female,Under Graduate,Science,Not Participated,No Experience,Startup,3.0,No Experience,No Experience,Comfortable using newly launched technologies,3,Money,0,Corporate Employee,0.0
27,19,Female,Under Graduate,Science,Culturals,No Experience,Corporate Job,9.0,Student Council Member,Attended Conferences,Comfortable using newly launched technologies,6,Passion,1,Corporate Employee,9.47
28,19,Female,Under Graduate,Science,Not Participated,No Experience,Corporate Job,7.0,No Experience,Attended Conferences,Comfortable using newly launched technologies,4,Money,0,Government Officer,8.63
29,18,Female,Under Graduate,Science,Not Participated,No Experience,Corporate Job,10.0,Student Council Member,Attended Conferences,Comfortable using newly launched technologies,5,Passion,0,Corporate Employee,8.74
30,20,Male,Under Graduate,Commerce,Sports,No Experience,Startup,10.0,No Experience,Attended Conferences,Can efficiently work with AI tools,10,Money,1,Entrepreneur,7.37
31,19,Male,Under Graduate,Commerce,Sports,No Experience,Corporate Job,8.0,No Experience,No Experience,Good Coding knowledge,6,Money,1,Entrepreneur,9.79
32,18,Male,Under Graduate,Commerce,Sports,No Experience,Corporate Job,8.0,No Experience,No Experience,Good Coding knowledge,6,Social Impact,1,Entrepreneur,7.89
33,19,Female,Under Graduate,Science,Sports,No Experience,Research,6.0,Student Council Member,No Experience,Comfortable using newly launched technologies,6,Work-life Balance,2,Corporate Employee,8.0
34,18,Female,Under Graduate,Science,Not Participated,No Experience,Corporate Job,7.0,No Experience,Attended Corporate events,Comfortable using newly launched technologies,5,Money,1,Corporate Employee,8.65
35,19,Female,Under Graduate,Science,Sports,No Experience,Corporate Job,7.0,No Experience,No Experience,Comfortable using newly launched technologies,5,Money,1,Corporate Employee,9.26
36,19,Male,Under Graduate,Science,Not Participated,No Experience,Startup,10.0,No Experience,No Experience,Comfortable using newly launched technologies,4,Freedom,1,Entrepreneur,6.32
37,20,Male,Under Graduate,Commerce,Sports,Internship,Research,1.0,No Experience,No Experience,Good Coding knowledge,5,Money,2,,7.37
38,18,Male,High School,Commerce,Sports,No Experience,Startup,9.0,Event Management,No Experience,Good Coding knowledge,8,Money,1,Entrepreneur,8.0
39,18,Female,Under Graduate,Commerce,Culturals,No Experience,Corporate Job,7.0,No Experience,Attended Conferences,Can efficiently work with AI tools,5,Money,1,Entrepreneur,9.58
